Date_Time,Holiday,Temp,Rain_1H,Snow_1H,Clouds_All,Weather_Main,Weather_Description,Traffic_Volume
02-10-2012 09:00,No,288.28,0,0,40,Clouds,Scattered Clouds,5545
02-10-2012 10:00,No,289.36,0,0,75,Clouds,Broken Clouds,4516
02-10-2012 11:00,No,289.58,0,0,90,Clouds,Overcast Clouds,4767
02-10-2012 12:00,No,290.13,0,0,90,Clouds,Overcast Clouds,5026
02-10-2012 13:00,No,291.14,0,0,75,Clouds,Broken Clouds,4918
02-10-2012 14:00,No,291.72,0,0,1,Clear,Sky Is Clear,5181
02-10-2012 15:00,No,293.17,0,0,1,Clear,Sky Is Clear,5584
02-10-2012 16:00,No,293.86,0,0,1,Clear,Sky Is Clear,6015
02-10-2012 17:00,No,294.14,0,0,20,Clouds,Few Clouds,5791
02-10-2012 18:00,No,293.1,0,0,20,Clouds,Few Clouds,4770
02-10-2012 19:00,No,290.97,0,0,20,Clouds,Few Clouds,3539
02-10-2012 20:00,No,289.38,0,0,1,Clear,Sky Is Clear,2784
02-10-2012 21:00,No,288.61,0,0,1,Clear,Sky Is Clear,2361
02-10-2012 22:00,No,287.16,0,0,1,Clear,Sky Is Clear,1529
02-10-2012 23:00,No,285.45,0,0,1,Clear,Sky Is Clear,963
03-10-2012 00:00,No,284.63,0,0,1,Clear,Sky Is Clear,506
03-10-2012 01:00,No,283.47,0,0,1,Clear,Sky Is Clear,321
03-10-2012 02:00,No,281.18,0,0,1,Clear,Sky Is Clear,273
03-10-2012 03:00,No,281.09,0,0,1,Clear,Sky Is Clear,367
03-10-2012 04:00,No,279.53,0,0,1,Clear,Sky Is Clear,814
03-10-2012 05:00,No,278.62,0,0,1,Clear,Sky Is Clear,2718
03-10-2012 06:00,No,278.23,0,0,1,Clear,Sky Is Clear,5673
03-10-2012 08:00,No,278.12,0,0,1,Clear,Sky Is Clear,6511
03-10-2012 09:00,No,282.48,0,0,1,Clear,Sky Is Clear,5471
03-10-2012 12:00,No,291.97,0,0,1,Clear,Sky Is Clear,5097
03-10-2012 13:00,No,293.23,0,0,1,Clear,Sky Is Clear,4887
03-10-2012 14:00,No,294.31,0,0,1,Clear,Sky Is Clear,5337
03-10-2012 15:00,No,295.17,0,0,1,Clear,Sky Is Clear,5692
03-10-2012 16:00,No,295.13,0,0,1,Clear,Sky Is Clear,6137
03-10-2012 18:00,No,293.66,0,0,20,Clouds,Few Clouds,4623
03-10-2012 19:00,No,290.65,0,0,20,Clouds,Few Clouds,3591
03-10-2012 20:00,No,288.19,0,0,20,Clouds,Few Clouds,2898
03-10-2012 21:00,No,287.1,0,0,1,Clear,Sky Is Clear,2637
03-10-2012 22:00,No,286.25,0,0,1,Clear,Sky Is Clear,1777
03-10-2012 23:00,No,285.26,0,0,1,Clear,Sky Is Clear,1015
